NO,STUDID,SCH,COH,GDR,AGE,FATHOCC,MOTHOCC,FATHEDU,MOTHEDU,FATHINC,MOTHINC,SIBL,DOM,LIT1,LIT2,PHYIDE1,PHYIDE2,FINTEST1,FINTEST2,TEACHPRED,FCI1,FCI2,FCI3,FCI4,FCI5,FCI6,FCI7,FCI8,FCI9,FCI10,FCI11,FCI12,FCI13,FCI14,FCI15,FCI16,FCI17,FCI18,FCI19,FCI20,FCI21,FCI22,FCI23,FCI24,FCI25,FCI26,FCI27,FCI28,FCI29,FCI30,FMCE1,FMCE2,FMCE3,FMCE4,FMCE5,FMCE6,FMCE7,FMCE8,FMCE9,FMCE10,FMCE11,FMCE12,FMCE13,FMCE14,FMCE15,FMCE16,FMCE17,FMCE18,FMCE19,FMCE20,FMCE21,FMCE22,FMCE23,FMCE24,FMCE25,FMCE26,FMCE27,FMCE28,FMCE29,FMCE30,FMCE31,FMCE32,FMCE33,FMCE34,FMCE35,FMCE36,FMCE37,FMCE38,FMCE39,FMCE40,FMCE41,FMCE42,FMCE43,FMCE44,FMCE45,FMCE46,FMCE47,FMCE46a,RRMCS1,RRMCS2,RRMCS3,RRMCS4,RRMCS5,RRMCS6,RRMCS7,RRMCS8,RRMCS9,RRMCS10,RRMCS11,RRMCS12,RRMCS13,RRMCS14,RRMCS15,RRMCS16,RRMCS17,RRMCS18,RRMCS19,RRMCS20,RRMCS21,RRMCS22,RRMCS23,RRMCS24,RRMCS25,RRMCS26,RRMCS27,RRMCS28,RRMCS29,RRMCS30,RRMCS1a,RRMCS2a,RRMCS3a,RRMCS4a,RRMCS5a,RRMCS6a,RRMCS7a,RRMCS8a,RRMCS9a,RRMCS10a,RRMCS11a,RRMCS12a,RRMCS13a,RRMCS14a,RRMCS15a,RRMCS16a,RRMCS17a,RRMCS18a,RRMCS19a,RRMCS20a,RRMCS21a,RRMCS22a,RRMCS23a,RRMCS24a,RRMCS25a,RRMCS26a,RRMCS27a,RRMCS28a,RRMCS29a,RRMCS30a,FMCI1,FMCI2,FMCI3,FMCI4,FMCI5,FMCI6,FMCI7,FMCI8,FMCI9,FMCI10,FMCI11,FMCI12,FMCI13,FMCI14,FMCI15,FMCI16,FMCI17,FMCI18,FMCI19,FMCI20,FMCI21,FMCI22,FMCI23,FMCI24,FMCI25,FMCI26,FMCI27,FMCI28,FMCI29,FMCI30,FMCI31,FMCI32,MWCS1,MWCS2,MWCS3,MWCS4,MWCS5,MWCS6,MWCS7,MWCS8,MWCS9,MWCS10,MWCS11,MWCS12,MWCS13,MWCS14,MWCS15,MWCS16,MWCS17,MWCS18,MWCS19,MWCS20,MWCS21,MWCS22,TCE1,TCE2,TCE3,TCE4,TCE5,TCE6,TCE7,TCE8,TCE9,TCE10,TCE11,TCE12,TCE13,TCE14,TCE15,TCE16,TCE17,TCE18,TCE19,TCE20,TCE21,TCE22,TCE23,TCE24,TCE25,TCE26,STPFaSL1,STPFaSL2,STPFaSL3,STPFaSL4,STPFaSL5,STPFaSL6,STPFaSL7,STPFaSL8,STPFaSL9,STPFaSL10,STPFaSL11,STPFaSL12,STPFaSL13,STPFaSL14,STPFaSL15,STPFaSL16,STPFaSL17,STPFaSL18,STPFaSL19,STPFaSL20,STPFaSL21,STPFaSL22,STPFaSL23,STPFaSL24,STPFaSL25,STPFaSL26,STPFaSL27,STPFaSL28,STPFaSL29,STPFaSL30,STPFaSL31,STPFaSL32,STPFaSL33,LABGR,SAAR-B1,SAAR-B2,SAAR-B3,SAAR-B4,SAAR-B5,SAAR-B6,SAAR-B7,SAAR-B8,SAAR-B9,SAAR-F10,SAAR-F11,SAAR-G12,SAAR-G13,SAAR-G14,SAAR-G15,SAAR-G16,CLASS1,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12,CLASS13,CLASS14,CLASS15,CLASS16,CLASS17,CLASS18,CLASS19,CLASS20,CLASS21,CLASS22,CLASS23,CLASS24,CLASS25,CLASS26,CLASS27,CLASS28,CLASS29,CLASS30,CLASS31,CLASS32,CLASS33,CLASS34,CLASS35,CLASS36,CLASS37,CLASS38,CLASS39,CLASS40,CLASS41,CLASS42
1,A1001,1,1,1,3,1,9,4,5,7,12,2,1,1,1,3,1,48,56,0,C,E,B,A,E,B,B,A,B,D,C,B,C,A,C,C,A,E,E,A,B,D,C,E,B,C,E,D,B,E,A,B,F,G,B,F,B,G,D,B,A,D,A,A,E,C,B,H,D,G,H,E,G,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A,karena resultan di bawah lebih kecil dan resultan di atas bukit lebih besar sehingga kelajuan saat dibawah lebih besar sibandingkan saat diatas,A,C,B,C,C,D,A,D,C,D,D,C,D,C,E,C,D,A,B,C,C,C,B,B,A,A,A,B,B,A,karena kelajuan sudutnya lebih besar,karena karena energi kinetiknya lebih besar,roda besi karena beban ada pada permukaan dan tidak ada beban pada tempat yang berrongga,karena silinder luar berrongga dan silinder dalam pejal maka yang berrongga memiliki momen inersia yang lebih besa,momentum sudut konstan karena torsinya konstan,keatas karena menjauhi permukaan tanah,karenaroda bagian atas jauh dari permukaan tanah,kecepatan c lebih besar dari a dan a lebih besar dari b,karena f1&f2 sama sama searah jarum jam,3 resultannya 0,sin f pada gambar 2 lebih kecil dan pada gambar 1&2 sudut nya sama,karena lengan torsi pada 2 lebih besar daripada 1 dan pada gambar 3 resultannya 0 karena berlawanan arah,Bergetar dengan amplitudo yang semakin kecil dan arahnya selalu sama. karena energi kinetik akan semakin kecil seiring berjalannya waktu,dengan koefisien gaya gesek yang lebih besar maka percepatan akan semakim berkurang,karena jika tidak ada gesekan bola akan meluncur tanpa berrotasi,bergerak dengan kelajuan sama karena saling terhubung,karena jika teta 0 bola tidak akan menggelinding,kubus akan meluncur lebih cepat pada sudut yang lebih besar ,karens koefisien gaya geseknya sangat besar.,karena tergantung dengan letak sumbu perputaran silinder,karena gesekan mempengaruhi kecepatan roda bergerak,Roda akan berotasi dan diam ketika gumpalan lumpur pada titik terendah yang mungkin. karena bmassa lumpur sangat kecil untuk menggerakkan roda sampai berputan dan roda akan berhenti pada titik terrendah karena grafitasi(beban ada pada titik terrendah) ,Resultan torsi roda+lumpur lebih besar karena koefisien silinder pejal lebih kecil daripada yang berrongga,karena beban yang digerakkan ada pada permukaan roda saja,karena momen inersianya lebih besarnya,Resultan torsi lebih besar pada sistem silinder plastik karena lengan yang lebih panjang,Resultan torsi lebih besar pada sistem silinder plastik karena lengan gaya yang lebih panjang dan massa yang harus digerakkan oleh gaya lebih kecil,Resultan torsi lebih besar pada sistem di mana silinder memiliki massa lebih kecil karena brban yang harus digerakkan lebih kecil maka torsi menjadi lebih besar,karena akan lebih mudah berputar pada massa siliner yang lebih kecil,massa lumpur dikali gravitasi dan dikali jari jari atau lemgan ,A,A,D,D,A,B,A,C,B,A,D,C,C,B,C,C,B,B,A,A,D,D,B,D,D,B,B,A,A,A,D,B,E,B,A,E,A,B,B,A,A,E,C,E,D,D,C,A,C,A,C,A,E,D,B,B,C,A,B,B,B,A,D,C,C,A,D,B,B,A,B,B,A,A,B,A,C,D,B,E,C,A,B,B,A,C,C,D,E,E,C,D,C,D,A,D,E,B,D,C,B,D,A,A,C,D,D,C,A,A,A,D,C,1,3,3,3,3,4,1,3,4,2,4,4,1,2,1,4,4,4,5,5,3,4,2,4,3,4,4,5,5,4,5,2,4,2,2,5,2,1,3,2,4,4,5,4,4,5,5,4,1,5,5,1,2,5,5,5,1,3,2
2,A1002,1,1,2,1,4,8,4,4,10,12,2,1,1,1,2,2,38,61,0,C,D,B,E,A,C,B,E,A,D,C,B,C,B,C,A,B,D,D,E,C,B,A,C,C,B,B,E,B,E,B,B,E,F,B,E,F,E,D,B,E,D,A,J,E,D,J,B,D,C,J,A,B,C,D,J,E,A,D,E,A,A,E,E,C,C,A,B,E,C,D,F,A,B,A,C,D,Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit sesuai gambar,C,B,B,C,E,A,B,E,C,D,D,C,C,C,E,C,C,A,B,C,D,D,E,E,D,A,A,A,B,A,Karena Energi Kinetik rotasi juga dipengaruhi oleh massa benda itu sendiri,Karena Bola memiliki kecepatan sudut dan linier sedangkan kubus hanya memiliki kecepatan linier,Karena kedua benda sama sama memiliki Momen inersia yang sama karena sama sama merupakan benda pejal,"Karena Inersia dipengaruhi panjang jari jari,dimana jari jari Silinder luar lebih besar",Karena torsi tidak 0 sehingga benda mengalami perubahan percepatan sudut,Kecepatan titik B bergerak ke arah tanah ,Karena di setiap titik kelajuannya adalah sama,Karena di setiap titik kelajuannya adalah sama,karena F pada benda 3 bekerja pada ujung ujung batang sehingga memiliki torsi,Karena Arah dari benda itu dapat membuat benda memiliki Momen gaya atau torsi,Benda 1 Dan 3 memiliki Momen gaya yang sama dan lebih besar dibandingkan benda 2,Benda 2 Karena jaraknya lebih besar memiliki torsi yang lebih besar,Karena Konstan dan akan selalu sama,-,Jika ?? = 0  bola akan slip dan tidak menggelinding,karena titik pad pinggir roda tidak mengalami slip,Bola akan selalu meluncur untuk semua sudut kemiringan ? > 0?,Kubus  akan meluncur tidak terguling,Kubus akan tetap diam  untuk semua sudut kemiringan ?,Bergantung pada poros,sebab roda akan bergesekan dengan permukaan ,Ketika lumpur roda akan mengalami gaya inersia yang berusaha untuk tetap diam lalu gaya inersia akan berlawanan arah dengan arah rotasi yang akan terjadi.,Resultan torsi pada  silinder dengan lumpur dan roda dengan lumpur sama dan tidak nol.,Percepatan sudut pada kedua sistem tidak mungkin sama dengan nol karena ada torsi yang bekerja,kecepatan sudut dari keduanya sama besarnya , karena hasil torsi pada silinder plastik  lebih besar daripada silinder plastik ,karena hasil torsi pada silinder plastik  lebih besar daripada silinder plastik ,-,-,rumus momen gaya adalah F�R dan F bisa dipecah menjadi M�G jadi rumus momen gaya M�G�R,B,B,A,B,B,C,B,C,C,A,A,A,A,A,A,A,A,C,A,B,B,A,B,A,B,C,D,C,C,E,D,D,B,A,D,D,A,B,B,A,D,A,C,A,D,B,B,A,D,A,C,C,E,A,A,C,B,C,D,C,C,B,D,A,A,C,A,A,B,D,C,E,A,A,D,C,B,C,C,C,C,A,B,C,A,A,E,D,C,A,C,D,E,D,A,E,A,E,D,E,D,D,D,D,C,B,B,E,A,B,D,C,E,4,3,4,4,3,4,1,4,4,1,3,3,3,2,4,4,4,5,3,3,4,2,4,3,4,3,1,4,4,3,2,4,4,2,1,4,3,4,2,1,4,2,3,2,4,4,4,4,1,4,3,2,4,3,2,4,3,3,3
3,A1003,1,1,1,2,4,8,3,4,2,12,0,1,1,1,2,1,79,73,1,D,D,C,E,C,B,B,A,E,D,B,B,B,A,C,A,B,D,D,C,B,D,A,A,A,D,C,C,E,B,B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,C,A,B,E,A,F,B,D,B,B,A,A,"Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit sesuai gambar. 

Hal ini dikarenakan jika suatu bukit lebih curam, berarti kecepatan saat meluncur juga akan lebih besar. Semakin tinggi suatu bukit itu maka jika ada gerak ke bawah atau meluncur, kecepatannya akan lebih besar. Terdapat pula rumus yang menyebutkan bahwa v' = akar 2gh
Jadi, semakin tinggi suatu permukaan maka v' nya akan semakin besar pula.

Karena pada soal 46 bukit nya lebih curam daripada bukit soal 44. Oleh karena itu, kelajuan pada soal no 46 lebih besar dibandingkan kelajuan pada soal no 44. Hal ini menjadikan saya memilih jawaban A pada soal nomor 46.",C,B,B,C,D,B,C,A,E,E,E,C,D,C,E,C,A,A,B,D,A,D,C,C,C,C,A,C,C,D,Karena silinder B memiliki massa empat kali dari silinder A dan silinder A memiliki kecepatan rotasi dua kali lebih cepat. Jika dihitung menggunakan rumus �kmv� maka akan menghasilkan hasil yang sama.,Karena kubus tidak menggelinding seperti bola sehingga gaya yang diperlukan lebih sedikit,Karena roda memiliki rongga berdiamater dalam dan luar,Karena silinder dalam hanya memiliki jari-jari dengan mengunakan konstanta �,Akan terjadi perubahan percepatan sudut karena gaya yang bekerja menghasilkan torsi ? 0,Karena berlawanan dengan gerak percepatan sudut,Semua titik pada roda yang bekerja memiliki kelajuan yang sama,Memiliki kelajuan yang sama makan ditandai dengan tanda (=),Karena seluruh resultan akan bernilai 0,Pada seluruh resultan bernilai 0,Memiliki resultan yang sama yaitu 0,Karena gaya yang bekerja memiliki posisi yang berbeda,Gerakannya semakin kecil seiring berjalannya waktu,Karena permukaan batu menyebabkan gesekan yang lebih besar,Karena koefisien gerakan menyebabkan terjadinya gerakan,Memiliki kelajuan yang sama setiap titik,"koefisien 0 artinya permukaan licin, maka benda dapat meluncur dan menggelindinf",Karena permukaannya licin,Permukaan benda kasar sehingga sulit untuk bergerak,Karena membutuh percepatan sudut silinder,Karena energi rotasi yang bekerja merupakan gabungan antara kinetik dan rotasi,Bergantung pada massa gumpalan,Karena roda memiliki diameter dalam dan luar,Karena percepatan sudut bergantung pada nilai R dan M,Karena berganrung pada R dan M,Nilai jari jari berpengaruh,Karena memiliki jari jari 2r,Nilai massa berpengaruh,Karena massa berpengaruh,Massa lumpur mempengaruhi ,B,B,A,B,A,A,B,A,A,D,B,C,A,B,B,A,A,D,D,C,D,B,C,A,D,B,D,C,A,B,A,D,B,A,D,A,A,B,B,A,D,A,C,C,D,B,B,A,C,B,C,C,A,E,A,B,B,B,B,B,C,A,B,C,B,C,D,D,B,C,A,B,C,D,C,C,C,D,A,E,C,A,B,A,A,B,C,C,B,B,B,C,C,E,E,E,A,B,E,E,E,D,D,C,C,D,B,B,A,B,B,A,B,3,3,4,3,3,4,1,4,4,1,4,4,1,2,1,4,4,4,2,5,5,4,1,2,4,2,1,5,4,3,5,1,4,2,3,4,4,3,4,2,5,3,4,3,4,2,4,4,2,3,2,2,3,4,1,4,2,4,3
4,A1004,1,1,2,3,1,1,2,2,6,6,3,1,2,1,3,1,62,59,1,D,D,C,E,C,A,A,E,A,E,C,C,B,A,C,C,D,A,B,C,B,D,B,D,D,A,C,D,A,B,B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,A,A,A,A,Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit sesuai gambar.,D,D,D,C,E,E,B,E,B,A,D,D,D,C,E,A,C,A,A,A,B,C,A,B,B,B,C,B,B,B,Karena energi kinetik rotasi bergantung pada nilai kelajuan(omega)yg diketahui. Hal itu dapat dilihat dari rumusnya �.m.omega�,karena massa sebuah benda dapat menentukan besar kecil energi kinetik,"karena massa memperngaruhi energi kinetik rotasi
",karena jari jari silinder pasti lebih kecil,karena menghasilkan W,kelajuannya 0,karena bagian atas jauh dari tanah,pada titik C roda memiliki kelajuan paling besar karena berada di atas,kasus II F1 dan F2 mengarah ke titik pusat,maaf gatau bu,...,...,...,...,"koefisien gesek tidak diabaikan, dipeehatikan berapa nilainya",karena bentuknya bulat,...,karena benda yang meluncur bentuknya kubus,...,..,..,...,...,..,..,..,...,...,...,"
..",B,B,A,B,A,A,B,A,A,D,B,C,A,B,B,A,A,D,D,C,D,B,C,A,D,B,D,C,A,B,A,D,D,E,B,A,A,E,A,B,B,A,A,D,B,E,A,E,C,D,B,B,E,E,D,B,B,B,B,B,C,C,B,C,A,C,D,D,B,A,C,B,A,A,D,C,C,B,C,C,C,A,B,A,A,B,C,C,B,B,B,C,C,E,E,E,A,B,E,E,E,D,D,C,C,D,B,B,A,B,B,A,B,3,3,4,3,3,4,1,4,4,1,3,3,2,1,1,4,4,3,2,3,5,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,3,2,3,3,3,3
5,A1005,1,1,1,2,1,1,3,3,10,10,2,1,2,1,3,1,44,40,0,D,D,E,A,D,A,E,A,A,C,A,C,C,A,D,D,A,D,E,C,D,A,D,A,B,A,A,B,A,B,B,B,A,G,B,C,E,A,A,A,A,A,A,E,E,C,E,H,C,F,H,E,G,C,E,A,G,D,B,E,E,E,E,E,E,E,E,E,E,E,F,B,D,B,A,A,A,Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit sesuai gambar.,C,B,C,C,B,B,B,B,E,D,D,C,C,C,E,C,C,A,A,C,D,A,C,B,B,A,A,A,E,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,D,D,A,B,A,C,B,A,D,C,C,B,C,C,B,B,A,A,D,D,B,D,D,B,B,A,A,A,D,B,B,B,A,C,B,B,A,B,A,C,B,A,A,C,B,E,B,B,A,B,A,C,B,C,D,B,D,C,C,D,D,B,C,C,B,D,B,A,C,D,D,D,C,D,A,B,C,E,A,B,C,C,D,E,D,D,B,C,D,B,A,D,A,B,D,D,D,B,C,C,C,D,D,D,A,C,D,E,B,E,E,5,3,4,4,3,4,1,3,4,1,1,1,1,1,1,1,1,5,2,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,A1006,1,1,2,2,1,7,4,2,9,4,2,2,1,2,2,1,26,32,0,D,A,A,E,E,B,A,A,A,A,A,E,A,B,D,A,A,E,D,C,A,A,A,A,A,A,A,B,E,C,F,G,A,J,G,A,A,J,J,B,G,B,B,J,C,J,A,A,A,F,A,J,J,A,F,A,B,B,B,A,A,A,F,A,C,B,B,C,J,J,A,A,J,J,J,B,B,-,C,B,C,A,A,B,A,A,A,E,E,E,E,A,E,A,E,E,B,A,E,D,A,D,B,E,D,A,D,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,D,D,A,B,A,C,B,A,D,C,C,B,C,C,B,B,A,A,D,D,B,D,D,B,B,A,A,A,D,B,B,A,B,B,A,B,B,D,D,A,C,C,D,B,B,A,C,A,D,C,A,C,A,D,B,D,B,B,C,B,B,A,E,C,D,D,C,D,C,B,B,A,A,D,B,C,C,E,C,A,C,D,D,D,B,B,C,A,D,D,D,C,B,D,B,A,E,D,B,D,C,B,C,D,B,A,D,D,B,D,D,9,2,2,2,2,2,1,2,2,1,3,3,2,3,4,4,4,1,1,1,1,1,5,5,1,1,5,1,1,5,1,1,1,5,5,1,1,1,1,5,1,5,1,1,1,1,1,1,5,1,1,5,1,1,5,1,1,1,1
7,A1007,1,1,2,2,1,1,4,3,8,8,2,2,1,1,1,1,92,86,1,D,D,B,D,B,A,D,A,E,D,C,B,E,B,C,A,B,B,E,A,B,E,D,E,D,D,A,D,B,C,B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A,Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit ,D,B,B,C,D,C,C,A,A,C,D,C,D,C,E,C,C,B,E,C,D,D,C,B,A,A,A,A,A,B,Karena rumus energi kinetik adalah �Iw� jadi energi kinetik bergantung pada momen inersia dan kecepatan sudut,Karena kalau kubus temasuk gerak translasi jadi rumus Ek=�mv� tetapi untuk bola mengelinding rumus Ek adalah �mv�+�Iw� ,Karena momen inersia pada roda besi lebih besar daripada momen inersia silinder alumunium,Karena momen inersia silinder luar adalah jumlah dari momen inersia silinder dalam ditambah massa kali jarak dari pusat ke titik yang dituju,Karena torsi dipengaruhi oleh percepatan sudut sehingga jika percepatan sudut berubah maka torsi tidak akan konstan,Karena jawaban dari nalar,Karena kecepatan adalah omega kali jari jari,Karena kecapatan sama semua,Karena gaya melalui poros,Karena jumlah torsi pada gambar 3 adalah 0,Kara pada gambar no 2 perlu di jabarkan menjadi F kali sin alfa (besar sudut),Tergantung gambar,Karena semakin lama bandul akan berhenti,Karena koefisien gesekan pada batu lebih besar,Karena kalau tidak ada koegisien gesek maka bola tidak bisa menggelinding,Karena kecepatan disetiap pinggir roda sama,Karena koefisien gesek statis nol sehingga bola tidak menggelinding,Karena terganrung sudutnya,Karena tetap meluncur tapi diperlambat,Karena dipengaruhi letak porosnya,Karena kalau tidak ada koefisien gesek maka bola tidak mengelinding,Tergantung masa lumpur,Karena torsi dipengaruhi dipengaruhi momen inersia dan momen inersia dipengaruhi M dan R,Karena jumlah momen inersia roda dan lumpur lebih besar dari silinder ditambah lumpur,Karena lebih besar silinder+ lumpur,Karena R plastik lebih besar dari alumunium,Sama dengan no 26,Karena masa lebih besar,Masa lebih besar,Karena karena ada 2 gaya jadi ditambah masanya,B,B,A,B,A,A,B,A,A,D,B,C,A,B,B,A,A,D,D,C,D,B,C,A,D,B,D,C,D,D,B,D,D,E,B,C,A,C,D,C,B,A,B,A,E,D,C,E,D,C,D,D,E,E,A,B,B,B,B,B,B,A,B,C,B,C,D,B,D,A,B,B,C,A,C,A,C,D,A,C,C,B,C,B,D,D,D,D,B,B,B,E,C,E,A,C,B,B,D,C,B,D,B,E,C,C,C,B,A,D,A,C,C,1,3,3,3,3,4,1,3,4,2,3,3,4,3,3,4,4,3,3,4,4,2,1,3,3,4,2,4,3,2,3,4,3,2,3,4,3,3,3,3,4,4,4,3,3,3,4,4,1,3,3,3,4,3,3,3,2,4,4
8,A1008,1,1,2,2,4,5,2,1,10,5,2,1,1,1,2,1,60,68,1,D,B,B,A,E,B,A,E,B,C,C,B,C,B,C,C,D,D,E,C,C,D,D,C,D,C,B,C,B,E,B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A,Kelajuan pada saat di bawah lebih besar pada bukit yang lebih tinggi dan kurang curam daripada bukit sesuai gambar. ,D,B,B,C,E,C,D,A,A,A,D,C,D,C,E,C,C,B,E,C,D,D,C,B,A,A,A,A,A,B,karena rumus energi kinetik adalah �Iw� jadi energi kinetik tergantung momen inersia dan kecepatan sudut,"karena jika gerak kubus termasuk gerak translasi,  jadi rumus EK = �mv� tetapi untuk bola menggeliding rumus EK = �mv�+�Iw�   ",karena momen inersia pada roda besi lebih besar dari pada momen inersia silinder aluminium,karena momen inersia silinder luar adalah jumlah dari silinder dalam ditambah massa kali jarak dari pusat ke titik yang dituju,karena torsi dipengaruhi oleh percepatan sudut sehingga jika percepatan sudut berubah maka torsi tidak akan konstan,karena dilihat dari titik b,karena rumus kecepatan adalah wr,karena sama semua,karena gayanya melalui poros,karena jumlah tosinya 0,karena pada gambar nomer 2 dijabarkan menjadi sin F sin alfa (besar sudut),tergantung gambar ,karena semakin semakin lama bandul akan berhenti,karena koef gesekan pada batu lebih besar,"karena jika tidak ada koef gesek, bola tdk bisa menggelinding",karena kecepatan sama tiap pinggir roda,karena koef gesekan 0 sehingga bola tdk menggelinding,karena tergantung sudut,karena tetap meluncur tapi dengan  kecepatan kecil diperlambat,karena dipengaruhi letak porosnya,karena kalau tidak ada koef gesekan maka akan meluncur,karena tergantung massa lumpur,karena torsi dipengaruhi momen inersia sedangkan momen inersia dipengaruhi m dan r ,karena jumlah momen inersia roda dan lumpur lebih besar dari silinder dan lumpur,karena lebih besar silinder dan lumpur,karena r plastik lebih besar dari r alumunium,karena sama dengan nomer 26,karena massa lebih besar ,karena massanya lebih besar,karena ada 2 gaya sehingga ditambah massanya,C,B,A,B,A,C,B,A,B,B,C,A,D,A,D,D,B,B,E,D,D,B,E,D,C,A,B,C,E,D,D,D,D,E,B,A,A,D,B,E,B,A,A,A,B,A,A,A,A,B,C,D,E,B,A,B,B,B,B,C,C,A,B,C,B,C,D,D,B,A,A,B,C,D,C,C,C,D,A,E,C,A,B,A,A,B,C,C,B,B,B,C,C,E,E,E,A,B,E,E,E,D,D,C,C,D,B,B,A,B,B,A,B,1,3,3,3,3,4,1,3,4,2,4,4,1,2,3,4,4,5,4,3,5,5,1,3,4,2,1,4,5,1,5,4,5,2,1,5,5,2,4,1,3,4,5,3,4,4,5,4,1,1,4,2,3,4,4,3,4,5,2
9,A1009,1,1,2,2,1,1,4,3,10,9,1,1,1,1,2,1,44,46,0,A,D,E,A,C,B,A,A,C,A,B,B,B,B,D,A,E,B,D,C,B,D,C,A,E,A,A,C,A,E,B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A,karena semakin tinggi bukit maka kelajuannya kereta luncur semakin besar hal ini dipengaruhi oleh gaya gravitasi bumi.,A,E,C,C,E,D,C,E,C,D,E,C,D,C,D,A,D,B,D,C,C,C,C,B,A,A,A,C,E,D,"karena massa B lebih besar, sehingga A berotasi lebih besar.",karena kubus lebih cepat meluncur,"Karena keduannya memlikimi massa dan jari"" yang sama.","Karena r pada silinder luar lebih besar, sehingga I pada silinder luar lebih besar",karena mempengatuhi W atau v,karena dipengaruhi oleh gaya normal,karena gaya tersebut dipengafuhi oleh kecepatan sudut,"karena gerak pada vc turun, dan va naik untuk berputar",karena dua gaya yang ada searah,karena gaya yang diberikan searah,karena gaya yg diberikan searah dan sama.,"karena gaya pada II berada diujung, lebih besar daripada I dqn III",karena semakin lambat,karena gaya gesek dengam batu bayak,"karena pada sudut kurang  45�, bola bisa menggelinding dan mengalami slip",karena gaya dipengaruhi W,karena jika teta=0 bola tidqk akan menggelinding,"karena jika teta kecil, kubus akan tetap diam karena luas permukaan kubus yang luas","karena kemiringan yang besar dan oermukaan yang tidak rata, kubus akan terguling, karena kesulitan meluncur",karena mempengaruhi positif dan negatif,"karena jika tidak ada gesekan, roda akan menngelinding tanpa halangan",roda akan tetap berputar dan diam ketika gumpalan terletak dititik terendah,karena torsi dipengaruhi momen inersia,bismillah,karena jika kecepatannya lebih besar maka kecepatannya akan maksimal,karena massa tembaga lebih besar,karena massa tembaga lebih besar ,karena massa besar maka resultan torsi akan mengikuti pusat,karen percepatan sudut tidak sama dengan 0,karena t= (m+M)g/R,A,B,C,B,D,C,E,C,A,A,A,E,D,C,E,D,B,A,A,C,C,A,D,B,B,A,D,E,A,B,D,C,E,E,C,B,A,D,D,D,B,B,A,E,B,C,B,E,D,C,E,D,E,A,A,B,C,B,B,D,B,D,D,C,B,C,A,A,B,A,C,B,A,D,D,B,C,C,B,C,D,B,B,B,A,A,C,D,C,A,A,B,C,A,B,E,B,B,D,B,A,D,B,C,C,E,D,C,A,D,C,A,C,2,3,3,3,4,4,1,4,4,2,3,3,3,2,2,4,4,3,5,4,5,4,1,2,4,2,3,2,3,2,4,4,4,3,3,5,5,3,2,1,2,3,3,2,5,3,5,3,2,1,3,1,3,5,2,3,4,4,3
